title,authors,year,journal,url,crop,locations,data_modalities,methods,evaluation_metrics,in_season_prediction,citations,weather_features,soil_features,satellite_features,other_features,yield_resolution
Real-time prediction of corn yield from single-phase SAR and optical remote sensing data using deep learning,"['X Zhou', 'J Song', 'Y Dang', 'Z Xiao', 'H Yang']",2025.0,European Journal of Agronomy (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S1161030125003156),['Corn'],['USA'],"['Satellite', 'Weather']","['CNN+GP', 'CNN']","['R²', 'RMSE', 'mean absolute relative\rerror (MARE)', 'Pearson correlation coefficient (PCC)']",True,0.0,['land surface temperature'],,"['LAI', 'visible bands (RGB)', 'NIR', 'SWIR', 'VV+VH addition']",,['County']
Robust County-Level Corn Yield Estimation Using Ensemble Machine Learning and Multisource Remote Sensing,"['A Vafaeinejad', 'A Sharifi', 'S Khan']",2025.0,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing (IEEE),[url](https://ieeexplore.ieee.org/abstract/document/11068131),['Maize'],['USA'],"['Satellite', 'Soil', 'Weather', 'Topography']","['XGBoost', 'RF']","['RMSE', 'R²']",False,9.0,"['precipitation', 'mean temperature', 'maximum temperature', 'minimum temperature', 'vapor pressure deficit', 'dew point temperature']","['organic matter content', 'cation exchange capacity', 'bulk density', 'available water content', 'sand content', 'clay content']","['NDVI', 'EVI', 'gross primary production (GPP)']","['latitude, longitude']",['County']
Satellite-Based Cabbage and Radish Yield Prediction Using Deep Learning in Kangwon-do,"['H Park', 'Y Lee', 'S Park']",2023.0,Korean Journal of Remote Sensing (KoreaScience),[url](https://koreascience.kr/article/JAKO202331857673593.page),"['Cabbage', 'Radish']",['South Korea'],"['Satellite', 'Weather']","['CNN', 'RF']","['RMSE', 'Correlation']",True,4.0,['land surface temperature'],,"['NDVI', 'EVI', 'LAI']",,"['District', 'Subcity', 'Unclear']"
Satellite-based soybean yield forecast: Integrating machine learning and weather data for improving crop yield prediction in southern Brazil,"['R Schwalbert', 'T Amado', 'G Corassa', 'L Pott', 'P Prasad', 'I Ciampitti']",2020.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168192319305027),['Soybean'],['Brazil'],"['Satellite', 'Weather']","['LSTM', 'RF', 'OLS']","['MAE', 'RMSE', 'MSE']",True,438.0,"['land surface temperature', 'precipitation']",,"['NDVI', 'EVI']",,['Municipality']
SMN-AgroCLA: a deep learning framework with sequential midrange normalization for enhanced rice yield prediction using remote sensing data,"['L Liu', 'K Zhang', 'Y Zhang', 'T Lin', 'W Sun', 'H Sun', 'P Song', 'W Liu', 'D Ren', 'J Huang']",2025.0,GIScience & Remote Sensing (Taylor & Francis),[url](https://www.tandfonline.com/doi/abs/10.1080/15481603.2025.2569964),['Rice'],['China'],"['Satellite', 'Topography', 'Weather']","['CNN', 'LSTM', 'SSTNN', 'ALSTM', 'DDCN', 'AgroCLA']","['R²', 'RMSE', 'absolute relative error (ARE)', 'mean absolute relative\rerror (MARE)']",False,0.0,"['land surface temperature', 'solar radiation', 'precipitation']",['Soil moisture'],"['gross primary production (GPP)', 'EVI2']","['elevation', 'latitude, longitude']",['County']
Statistical modelling of drought-related yield losses using soil moisture-vegetation remote sensing and multiscalar indices in the south-eastern Europe,"['V Potopová', 'M Trnka', 'P Hamouz', 'J Soukup', 'T Castravet']",2020.0,Agricultural Water Management (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0378377420303656),"['Maize', 'Sunflower', 'Grapevine']",['Moldova'],"['Satellite', 'Soil', 'Weather']","['multiple linear regression (MLR)', 'ANN', 'bayesian belief networks (BBN)']","['RMSE', 'MAE', 'R²', 'predictive skill (SS)']",False,71.0,"['Potential Evapotranspiration (PET)', 'SPEI']",['Soil moisture'],"['EVI2', 'relative vegetation condition index']",,['District']
Subfield maize yield prediction improves when in-season crop water deficit is included in remote sensing imagery-based models,"['G Shuai', 'B Basso']",2022.0,Remote Sensing of Environment (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0034425722000529),['Maize'],['USA'],"['Satellite', 'Soil', 'Topography', 'Weather']",['RF'],"['MAPE', 'R²']",True,84.0,['land surface temperature'],"['Maximum ponding height', 'Soil class description', 'Depth to the base of layer', 'bulk density', 'clay content', 'silt content', 'coarse fragments', 'saturated water content', 'drained upper limit', 'drained lower limit', 'saturated hydraulic conductivity', 'organic carbon content', 'nitrogen content', 'pH', 'soil hospitality factor']",['GCVI'],"['yield stability maps', 'topgraphic position index (TPI - elevation)']","['Pixel/Subfield', '2m']"
Sun-induced chlorophyll fluorescence is superior to satellite vegetation indices for predicting summer maize yield under drought conditions,"['Y Wang', 'P Leng', 'G Shang', 'X Zhang', 'Z Li']",2023.0,Computers and Electronics in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168169923000030),['Maize'],['China'],"['Satellite', 'Soil', 'Weather']","['RF', 'LSTM']","['R²', 'RMSE']",False,34.0,"['minimum temperature', 'maximum temperature', 'precipitation', 'vapor pressure', 'vapor pressure deficit', 'evapotranspiration (ET)', 'palmer drought severity index']","['Soil moisture', 'organic carbon content', 'pH', 'cation exchange capacity', 'capacitance']","['SIF', 'NDVI', 'EVI']",,['County']
The impact of spatiotemporal variability of environmental conditions on wheat yield forecasting using remote sensing data and machine learning,"['K Khechba', 'M Belgiu', 'A Laamrani', 'A Stein', 'A Amazirh', 'A Chehbouni']",2025.0,International Journal of Applied Earth Observation and Geoinformation (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S1569843225000147),['Wheat'],['Morocco'],"['Satellite', 'Weather']","['RF', 'XGBoost']","['R²', 'RMSE', 'MAE']",True,11.0,"['maximum temperature', 'precipitation']",,"['NDVI', 'Terrestrial Chlorophyll Index (MTCI)', 'moisture stress index (MSI)']",,['Landform zone']
The model for grain wheat yield prediction at high spatial resolution based on physical-geographical properties and satellite vegetation indices,"['D Blagojevic', 'N Pajevic', 'G Mimic', 'S Cukovic', 'S Markovic', 'B Maestrini', 'et al.']",2025.0,Geocarto International (Taylor & Francis),[url](https://www.tandfonline.com/doi/full/10.1080/10106049.2025.2493741),['Wheat'],['Serbia'],"['Satellite', 'Soil', 'Topography']",['RF'],"['RMSE', 'MAE', 'relative RMSE (RRMSE)', 'Pearson correlation coefficient (PCC)', ""Spearman's rank correlation coefficient""]",False,0.0,,"['bulk density', 'clay content', 'coarse fragments', 'nitrogen content', 'pH', 'sand content', 'silt content']","['visible bands (RGB)', 'NIR', 'SWIR', 'NDVI', 'SAVI', 'modified SAVI (MSAVI)', 'Infrared percentage vegetation index (IPVI)', 'Transformed vegetation index (TVI)', 'EVI', 'ARVI', 'green chlorophyll index (GCI)', 'difference vegetation index (DVI)', 'OSAVI', 'GNDVI', 'chlorophyll vegetation index', 'simple ratio (SR)', 'wide dynamic range vegetation index (WDRVI)', 'normalised differential moisture index (NDMI)']","['slope (SLOP)', 'flow direction', 'flow accumulation', 'elevation']","['Pixel/Subfield', '10m']"
Training Machine Learning Algorithms Using Remote Sensing and Topographic Indices for Corn Yield Prediction,"['M Oliveira', 'B Ortiz', 'G Morata', 'A Jiménez', 'G Rolim', 'R Silva']",2022.0,Remote Sensing (MDPI),[url](https://www.mdpi.com/2072-4292/14/23/6171),['Corn'],['USA'],"['Satellite', 'Topography']","['extremely randomized trees', 'Gradient Boosting Machines (GBM)', 'XGBoost', 'ML ensemble']","['MAE', 'estimated mean error (EME)', 'relative percentage error']",True,22.0,,,"['NIR', 'visible bands (RGB)']","['topographic wetness index (TWI)', 'topographic position index (TPI)']","['Management zone', 'Pixel/Subfield', '3m']"
Transfer learning for improved crop yield predictions in a cross-scale pathway: a case study for Brazilian national soybean,"['J Zhang', 'K Guan', 'Z Chen', 'Y Huang', 'K Zhao', 'B Peng', 'S Wang', 'X Wu', 'S Wang', 'A Banerjee', 'N Vergopolan', 'R Fu', 'S Zhao', 'J Colussi']",2025.0,International Journal of Applied Earth Observation and Geoinformation (Elsevier),,['Soybean'],['Brazil'],"['Satellite', 'Soil', 'Weather']",['CNN+transformer'],"['RMSE', 'relative RMSE (RRMSE)', 'R²', 'Pearson correlation coefficient (PCC)']",False,0.0,"['maximum temperature', 'minimum temperature', 'precipitation', 'vapor pressure deficit']","['organic matter content', 'clay content', 'sand content', 'saturated water content', 'residual soil water content (RSWC)']","['green', 'NIR']",,['Municipality']
Wheat Crop Field and Yield Prediction using Remote Sensing and Machine Learning,"['M Ayub', 'N Khan', 'R Haider']",2022.0,IEEE International Conference on Artificial Intelligence (Proceedings),[url](https://ieeexplore.ieee.org/abstract/document/9773663?casa_token=jk9dHZpcNcgAAAAA:ohYOhCdMxQP2CtqaSZ-5xrUx-QfqOQ458oNExeKdkZFxOhGpC5BckrWmvNByAFutwHg63I72),['Wheat'],['Pakistan'],"['Satellite', 'Weather', 'Soil']",['multivariate regression'],['R²'],False,15.0,"['humidity', 'temperature', 'wind speed', 'wind direction', 'mean sea level pressure', 'soil temperature', 'sunshine duration']",['Soil moisture'],"['EVI', 'NDVI']",,"['Unclear', 'District']"
Winter Wheat Yield Prediction at County Level and Uncertainty Analysis in Main Wheat-Producing Regions of China with Deep Learning Approaches,"['X Wang', 'J Huang', 'Q Feng', 'D Yin']",2020.0,Remote Sensing (MDPI),[url](https://www.mdpi.com/2072-4292/12/11/1744),['Wheat'],['China'],"['Satellite', 'Weather', 'Soil']","['LSTM+CNN', 'RF', 'LASSO', 'SVM']","['R²', 'RMSE', 'normalized RMSE', 'MAPE']",True,290.0,"['temperature', 'precipitation', 'air pressure', 'specific humidity', 'shortwave radiation', 'longwave radiation', 'wind speed']","['bulk density', 'cation exchange capacity', 'clay content', 'coarse fragments', 'organic carbon content', 'pH', 'silt content', 'sand content']","['NIR', 'red-band', 'thermal-IR-band', 'NDVI']",,['County']
Winter wheat yield prediction using linear and nonlinear machine learning algorithms based on climatological and remote sensing data,"['M Haseeb', 'Z Tahir', 'S Mahmood', 'A Tariq']",2025.0,Information Processing in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S2214317325000149),['Wheat'],['Pakistan'],"['Satellite', 'Weather', 'Soil']","['RF', 'support vector regression (SVR)', 'LASSO', 'ridge regression (RR)']","['R²', 'RMSE', 'MAE']",False,20.0,"['maximum temperature', 'minimum temperature', 'precipitation', 'wind speed', 'SPEI', 'Potential Evapotranspiration (PET)']",['Soil moisture'],"['GNDVI', 'NDVI', 'EVI', 'SAVI', 'ARVI']",,['Region']
